"datas","X.BVSP","ALLL3.SA","BBAS3.SA","BBDC3.SA","BRAP4.SA","BRFS3.SA","BRKM5.SA","BRML3.SA","CCRO3.SA","CESP6.SA","CMIG4.SA","CPFE3.SA","CPLE6.SA","CRUZ3.SA","CSAN3.SA","CSNA3.SA","CYRE3.SA","ELET3.SA","ELPL4.SA","EMBR3.SA","ENBR3.SA","EVEN3.SA","GFSA3.SA","GGBR4.SA","GOAU4.SA","GOLL4.SA","HGTX3.SA","ITSA4.SA","ITUB4.SA","JBSS3.SA","LAME4.SA","LIGT3.SA","LREN3.SA","NATU3.SA","OIBR4.SA","PDGR3.SA","PETR3.SA","PETR4.SA","POMO4.SA","RENT3.SA","RSID3.SA","SBSP3.SA","SUZB5.SA","TBLE3.SA","TIMP3.SA","USIM5.SA","VALE3.SA","VALE5.SA","VIVT4.SA"
2008-01-02,62815,3.39,22.59,21.94,38.92,20.64,11.58,10.45,3.19,39.49,13.65,8.81,23.69,1.86,16.65,16.7,21.13,16.79,17.1,18.49,4.61,13.32,13.53,21.7,30.55,40.71,8.43,7.05,16.64,5.79,8.91,15.41,30.85,13.31,13.46,9.35,47.89,37.18,2.86,16.05,103.8,8.18,23.07,15.85,5.65,24.35,48.64,41.91,30.05
2008-01-03,62892,6.96,22.25,21.68,38.59,20.74,11.49,10.11,3.11,42.37,13.78,8.87,24.23,1.82,16.93,17.05,20.93,16.65,17.58,18.86,4.55,13.83,13.5,22.42,31.26,38.6,8.48,6.95,16.32,5.7,9.47,14.86,30.45,13.29,14,10.08,47.2,36.58,2.86,16.71,105.03,8.4,22.94,15.65,5.73,24.68,48.9,42.51,29.79
2008-01-04,61037,7.33,21.99,22.13,37,20.01,11.02,9.66,2.98,40.86,13.48,8.57,23.15,1.75,16.89,16.51,20.5,16.48,16.95,18.76,4.46,13.36,12.71,21.6,30.47,36.65,8.25,6.92,16.44,5.65,9.03,14.36,30.02,12.64,14.27,9.74,44.4,34.79,2.88,15.95,103.56,8.24,22.01,15.65,5.48,23.95,47.13,40.99,28.52
2008-01-07,60772,7.26,22.51,22.35,36.65,20.64,11.17,9.08,3.04,39.61,13.56,8.56,23.15,1.84,17.92,15.97,20.5,16.69,17.51,18.67,4.61,12.73,13.06,20.83,29.66,37.64,8.3,6.92,16.44,5.63,8.55,14.06,28.26,12.82,14.73,9.85,42.87,33.77,2.76,15.32,105.49,8.16,21.84,16.7,5.48,22.79,46.29,40.39,29.53
2008-01-08,62081,6.96,22.97,22.86,36.7,20.69,11.19,9.17,3.15,40.63,14,8.58,23.51,1.87,18.8,16.27,21.7,16.7,17.36,18.72,4.51,11.89,12.78,21.4,29.44,36.69,8.35,6.98,16.59,5.49,8.32,14.46,27.15,12.89,14.88,9.74,45.45,35.62,2.86,14.87,105.97,8.18,21.68,16.39,5.66,23.6,47.22,41.15,30.8
2008-01-09,62674,6.97,23.38,22.27,36.83,21.18,11.85,8.98,3.19,41.44,14.45,8.84,23.33,1.99,19.91,16.05,21.56,17.15,17.33,19.18,4.61,11.53,13.11,21.62,29.21,35.91,8.6,6.92,16.59,5.94,8.4,14.98,26.97,12.71,14.19,9.31,46.22,36.29,2.84,14.42,99.09,8.45,21.19,16.23,5.89,24.32,46.71,41.23,31.39
2008-01-10,63515,6.96,24.06,22.23,36.93,22.09,12,9.3,3.16,41.16,14.36,9.21,24,1.97,19.71,16.65,21.65,16.79,17.57,19.32,4.64,11.13,13.25,22.29,30.56,36,8.85,7.04,16.9,6.77,8.73,15.07,28.65,12.59,13.54,9.83,45.27,35.94,2.9,14.38,98.97,8.28,21.23,16.74,5.99,23.8,47.73,42.51,32.13
2008-01-11,61942,6.96,22.83,21.91,36.24,21.86,11.65,9.12,3.14,38.96,13.93,8.85,23.42,1.96,19.12,16.21,21.32,16.46,17.33,18.67,4.55,10.58,12.62,22.05,30.48,35.38,9.02,6.83,16.45,6.38,8.29,15.24,27.84,12.41,13.01,9.27,44.53,34.86,3.04,14.56,102.08,8.37,21.52,16.47,5.88,23.21,47.13,41.16,31.32
2008-01-14,62188,7.36,22.74,22.22,36.41,21.66,11.58,8.91,3.15,40.1,13.86,8.75,23.55,1.99,19.55,16.57,20.7,16.53,17.84,18.4,4.54,10.26,12.15,22.44,30.42,34.85,8.56,6.88,16.52,6.21,8.64,15.09,27.19,12.59,12.63,8.86,44.3,34.92,2.96,14.91,103.56,8.34,21.67,17.36,5.96,24.53,47.05,41.56,30.33
2008-01-15,59907,6.93,22.22,21.81,35.41,20.44,11.24,8.54,3.07,38.74,13.33,8.68,22.84,1.91,18.92,16.16,19.43,16.18,16.9,18.02,4.36,9.53,11.59,21.64,29.77,33.89,8.43,6.61,15.83,5.8,8.26,14.28,25.93,12.01,12.14,8.46,42.15,33.38,2.79,14.42,96.56,8.16,21.44,16.89,5.74,24.1,45.28,40.21,29.36
2008-01-16,58777,6.93,22.21,21.23,33.86,19.5,11.58,8.18,2.95,37.97,13.46,8.73,23.32,1.87,18.52,15.27,19.96,16.58,16.37,17.75,4.28,9.31,11.69,20.69,28.97,34.41,8.18,6.53,15.58,5.65,8.23,14.02,25.58,12.45,12.05,8.37,40.31,32.13,2.79,14.33,87.17,7.94,21.2,16.66,5.72,24.24,43.19,38.55,29.83
2008-01-17,57037,6.88,21.97,20.47,33.06,18.65,10.97,7.69,2.84,37.97,13.1,8.42,22.26,1.93,18.79,14.98,19.91,16.15,15.92,17.66,4.28,8.84,11.3,19.67,27.21,32.74,8.26,6.4,15.27,5.47,8.06,13.28,24.15,12.05,11.67,7.94,38.16,30.51,2.73,14.51,83.28,7.48,20.86,16.12,5.42,23.06,42.89,38.85,28.86
2008-01-18,57506,6.88,21.64,20.54,33.48,18.48,10.8,8.04,2.77,37.97,13.15,8.28,22.79,2.03,19.12,15.41,19.07,16.95,15.92,17.48,4.27,8.72,11.24,19.48,26.94,32.39,8.26,6.29,14.93,5.12,7.91,13.13,26.09,11.84,11.57,8.49,38.75,30.92,2.68,14.87,85.45,7.41,20.95,16.23,5.27,24.65,43.34,39.85,29.42
2008-01-21,53709,5.82,20.53,19.62,30.63,17.07,10.29,7.33,2.47,35.37,12.14,7.87,21.76,1.95,17.9,14.05,17.82,15.71,15.04,16.74,4.04,8.34,10.69,18.18,24.53,29.57,8.03,6.07,14.57,4.56,7.32,12.79,24.44,11.77,10.77,7.52,35.81,28.62,2.62,14.42,81.11,6.74,20.25,15.46,5.03,22.64,38.83,35.32,28.1
2008-01-22,56097,5.82,21.75,19.62,30.84,17.98,10.78,7.7,2.67,37.7,12.74,7.99,22.58,2.02,17.83,15.51,18.85,15.63,16.47,17.11,4.1,8.99,11.31,19.12,26.4,30.92,8.26,6.12,14.57,4.46,7.93,13.08,25.49,11.35,11.29,7.4,39.6,31.42,2.68,14.42,84.49,7.24,20.38,15.32,5.34,23.19,39.99,36.77,29.39
2008-01-23,54235,5.82,20.77,18.89,29.3,17.36,10.5,7.64,2.63,38.31,12.19,8.05,21.9,1.99,18.08,14.87,18,14.88,15.59,16.76,3.9,8.35,11.22,18.79,24.89,31.37,8.01,5.99,14.45,4.33,7.37,12.58,24.74,11.02,10.73,7.4,38.84,30.88,2.58,14.33,81.59,6.9,20.13,14.79,4.87,21.69,37.81,34.52,28.83
2008-01-24,57463,5.93,22.32,20.42,31.62,17.77,10.63,8.23,2.85,37.79,12.56,8.38,22.7,2.02,18.72,16.35,19.38,15.28,15.8,17.15,3.92,9.11,11.96,19.35,25.87,31.83,8.47,6.39,15.63,4.87,7.99,13.05,26.16,12.18,11.48,7.54,41.87,33.05,2.8,14.84,86.54,7.19,21.19,14.81,5.28,23.19,42.11,37.15,29.73
2008-01-28,58594,6.21,22.06,20.42,30.55,18.05,10.56,7.83,2.86,37.54,12.3,8.73,23.58,2.12,19.43,17.19,19.34,15.86,16.14,17.3,4.05,9.15,12.36,19.54,26.94,32.03,8.26,6.42,15.54,4.8,7.74,13.3,24.54,12.45,11.83,7.17,44.59,34.83,2.72,15.03,89.34,7.3,21.68,15.85,5.46,23.64,42.22,37.41,30.7
