"datas","X.BVSP","ABEV3.SA","ALLL3.SA","BBAS3.SA","BBDC3.SA","BRFS3.SA","BRML3.SA","CCRO3.SA","CPFE3.SA","CRUZ3.SA","CSAN3.SA","CSNA3.SA","CYRE3.SA","DTEX3.SA","ELET3.SA","ELPL4.SA","EMBR3.SA","ENBR3.SA","EVEN3.SA","GFSA3.SA","HGTX3.SA","ITSA4.SA","JBSS3.SA","LIGT3.SA","LREN3.SA","MRFG3.SA","MRVE3.SA","NATU3.SA","PDGR3.SA","PETR3.SA","POMO4.SA","RENT3.SA","RSID3.SA","SBSP3.SA","SUZB5.SA","TBLE3.SA","VALE3.SA"
2008-01-02,62815,0.51,3.39,22.59,21.94,20.47,10.45,3.19,8.8,1.86,16.65,16.7,21.13,8.42,16.79,17.1,18.49,4.47,13.32,13.53,8.41,7.02,5.79,15.41,30.79,15.19,10.67,13.31,9.35,47.89,2.86,16.05,103.8,8.18,23.07,15.85,46.71
2008-01-03,62892,0.51,6.96,22.25,21.67,20.57,10.11,3.11,8.86,1.82,16.93,17.05,20.93,8.35,16.65,17.58,18.86,4.41,13.83,13.5,8.46,6.93,5.7,14.86,30.39,15.2,10.64,13.29,10.08,47.2,2.86,16.71,105.03,8.4,22.94,15.65,46.95
2008-01-04,61037,0.51,7.33,21.99,22.13,19.84,9.66,2.98,8.56,1.74,16.89,16.51,20.5,7.51,16.48,16.95,18.76,4.33,13.36,12.71,8.23,6.9,5.65,14.36,29.96,15.2,10.34,12.64,9.74,44.4,2.88,15.95,103.56,8.24,22.01,15.65,45.26
2008-01-07,60772,0.5,7.26,22.51,22.35,20.47,9.08,3.04,8.55,1.84,17.92,15.97,20.5,7.72,16.69,17.51,18.67,4.47,12.73,13.06,8.28,6.9,5.63,14.06,28.21,15.1,9.98,12.82,9.85,42.87,2.76,15.32,105.49,8.16,21.84,16.7,44.45
2008-01-08,62081,0.5,6.96,22.97,22.85,20.52,9.17,3.15,8.56,1.87,18.8,16.27,21.7,7.79,16.7,17.36,18.72,4.38,11.89,12.78,8.32,6.96,5.49,14.46,27.09,15.15,10.06,12.89,9.74,45.45,2.86,14.87,105.97,8.18,21.68,16.39,45.34
2008-01-09,62674,0.5,6.97,23.38,22.27,21,8.98,3.19,8.82,1.99,19.91,16.05,21.56,7.89,17.15,17.33,19.18,4.47,11.53,13.11,8.58,6.9,5.94,14.98,26.92,15.05,9.95,12.71,9.31,46.22,2.84,14.42,99.09,8.45,21.19,16.23,44.86
2008-01-10,63515,0.52,6.96,24.06,22.22,21.91,9.3,3.16,9.19,1.97,19.71,16.65,21.65,7.89,16.79,17.57,19.32,4.5,11.13,13.25,8.83,7.02,6.77,15.07,28.6,15.21,9.64,12.59,9.83,45.27,2.89,14.38,98.97,8.28,21.23,16.74,45.83
2008-01-11,61942,0.51,6.96,22.83,21.9,21.68,9.12,3.14,8.84,1.96,19.12,16.21,21.32,7.54,16.46,17.33,18.67,4.41,10.58,12.62,9,6.81,6.38,15.24,27.79,15.1,9.56,12.41,9.27,44.53,3.04,14.56,102.08,8.37,21.52,16.47,45.26
2008-01-14,62188,0.5,7.36,22.74,22.22,21.48,8.91,3.15,8.73,1.99,19.55,16.57,20.7,7.54,16.53,17.84,18.4,4.4,10.26,12.15,8.53,6.86,6.21,15.09,27.14,14.95,9,12.59,8.86,44.3,2.96,14.91,103.56,8.34,21.67,17.36,45.18
2008-01-15,59907,0.49,6.93,22.22,21.81,20.27,8.54,3.07,8.66,1.91,18.92,16.16,19.43,7.44,16.18,16.9,18.02,4.23,9.53,11.59,8.41,6.59,5.8,14.28,25.88,14.94,8.4,12.01,8.46,42.15,2.79,14.42,96.56,8.16,21.44,16.89,43.49
2008-01-16,58777,0.49,6.93,22.21,21.22,19.34,8.18,2.95,8.72,1.87,18.52,15.27,19.96,7.22,16.58,16.37,17.75,4.15,9.31,11.69,8.16,6.51,5.65,14.02,25.53,14.26,8.58,12.45,8.37,40.31,2.79,14.33,87.17,7.94,21.2,16.66,41.48
2008-01-17,57037,0.47,6.88,21.97,20.46,18.49,7.69,2.84,8.4,1.93,18.79,14.98,19.91,6.9,16.15,15.92,17.66,4.15,8.84,11.3,8.24,6.38,5.47,13.28,24.1,13.85,8.06,12.05,7.94,38.16,2.73,14.51,83.28,7.48,20.86,16.12,41.19
2008-01-18,57506,0.48,6.88,21.64,20.53,18.33,8.04,2.77,8.27,2.03,19.12,15.41,19.07,6.6,16.95,15.92,17.48,4.14,8.72,11.24,8.24,6.27,5.12,13.13,26.04,13.8,8.4,11.84,8.49,38.75,2.68,14.87,85.45,7.41,20.95,16.23,41.62
2008-01-21,53709,0.46,5.82,20.53,19.62,16.93,7.33,2.47,7.86,1.95,17.9,14.05,17.82,6.38,15.71,15.04,16.74,3.91,8.34,10.69,8.01,6.05,4.56,12.79,24.39,13.01,7.12,11.77,7.52,35.81,2.62,14.42,81.11,6.74,20.25,15.46,37.29
2008-01-22,56097,0.47,5.82,21.75,19.62,17.82,7.7,2.67,7.98,2.02,17.83,15.51,18.85,6.46,15.63,16.47,17.11,3.98,8.99,11.31,8.24,6.1,4.46,13.08,25.44,13.53,7.82,11.35,7.4,39.6,2.68,14.42,84.49,7.24,20.38,15.32,38.4
2008-01-23,54235,0.44,5.82,20.77,18.89,17.22,7.64,2.63,8.03,1.98,18.08,14.87,18,6.38,14.88,15.59,16.76,3.78,8.35,11.22,7.99,5.97,4.33,12.58,24.69,13.75,7.57,11.02,7.4,38.84,2.58,14.33,81.59,6.9,20.13,14.79,36.31
2008-01-24,57463,0.48,5.93,22.32,20.42,17.62,8.23,2.85,8.36,2.02,18.72,16.35,19.38,6.38,15.28,15.8,17.16,3.8,9.11,11.96,8.45,6.37,4.87,13.05,26.11,14.94,8.4,12.18,7.54,41.87,2.8,14.84,86.54,7.19,21.19,14.81,40.44
2008-01-28,58594,0.49,6.21,22.06,20.42,17.9,7.83,2.86,8.72,2.11,19.43,17.19,19.34,6.03,15.86,16.14,17.3,3.93,9.15,12.36,8.23,6.4,4.8,13.3,24.49,14.45,8.54,12.45,7.17,44.59,2.72,15.03,89.34,7.3,21.68,15.85,40.54
2008-01-29,59530,0.48,6.21,22.51,20.32,18.63,8.07,2.94,8.45,2.04,20.39,17.44,20.75,6.38,16.58,17,17.29,3.9,9.54,13.07,8.19,6.52,4.62,13.59,24.82,14.27,8.87,13.07,7.89,44.53,2.69,14.64,92.94,7.31,21.77,15.46,41.21
2008-01-30,60289,0.47,6.1,23.04,20.1,18.99,8.27,3.08,8.11,1.96,21.5,17.72,21.03,6.38,16.51,17.09,17.29,3.8,9.94,12.99,8.14,6.47,4.58,13.31,24.66,14.15,9.01,13.01,7.98,45.66,2.6,14.54,96.32,7.43,22,15.5,42.27
2008-01-31,59490,0.48,6.3,22.17,19.62,18.97,8.23,3.22,7.99,1.96,21.9,17.78,20.41,6.73,15.78,16.84,17.52,3.75,9.85,12.45,8.15,6.3,4.76,12.91,23.97,14.41,9.08,12.74,8.53,44.26,2.54,14.46,90.28,7.3,21.84,15.46,41.82
2008-02-01,61080,0.5,6.3,21.98,19.62,19.76,8.09,3.3,8.51,2.02,21.9,18.93,21.56,6.56,16.47,17.39,18.03,3.67,9.54,12.64,8.06,6.09,4.87,12.92,23.72,14.7,9.06,12.86,9.05,45.04,2.52,14.55,90.04,7.54,22.29,15.76,44.29
2008-02-06,58969,0.48,6.3,21.49,19.16,18.88,7.87,3.29,8.19,2,19.75,18.07,20.41,6.53,15.74,16.9,17.35,3.58,9.62,11.7,7.79,5.85,4.89,12.67,23.46,14.7,8.59,12.83,8.41,43.27,2.56,14.33,85.94,7.63,21.47,15.65,42.85
2008-02-07,58965,0.51,5.33,21.22,19.01,19,8.09,3.2,8.2,1.93,19.27,17.97,19.16,6.74,15.86,17.27,17.11,3.69,9.54,11.15,8.15,5.78,4.88,12.42,23.55,14.7,8.59,12.11,8.02,44.7,2.6,14.1,82.31,7.47,20.99,15.5,42.28
2008-02-08,59076,0.51,5.33,21.22,18.78,19.02,7.82,3.24,8.19,1.94,19.39,18.14,18.8,6.88,15.89,16.9,17.28,3.71,9.7,11.34,7.7,5.75,5.15,12.34,23.27,14.95,8.28,12.07,7.87,44.83,2.6,14.41,82.07,7.27,21.6,15.58,43.16
2008-02-11,60643,0.52,5.81,21.41,19.54,19.75,8.27,3.29,8.47,1.98,19.91,18.44,19.47,7.12,16.58,16.96,17.94,3.64,9.7,11.84,7.64,5.97,5.13,12.75,24.7,15.05,8.4,12.33,7.87,45.69,2.58,15.41,83.16,7.33,21.97,15.82,44.78
2008-02-12,61805,0.52,6.95,21.79,19.81,19.8,8.43,3.29,8.68,1.98,20.39,18.83,20.05,7.5,17.08,17.57,18.42,3.67,10.1,12.58,7.66,6.23,5.04,13.11,26.3,14.53,8.87,12.95,8.57,45.74,2.64,15.76,94.14,7.47,22.01,16.47,45.11
2008-02-13,62591,0.53,6.78,21.8,20.08,20.19,8.67,3.3,8.9,1.94,21.18,19.59,21.39,7.65,17.59,17.28,18.21,3.88,10.9,13.06,7.64,6.41,4.7,13.64,26.4,14.29,9.42,12.55,9.29,46.65,2.62,16.85,100.42,7.36,22.4,16.47,45.82
2008-02-14,61819,0.51,6.78,21.41,19.67,20.57,8.85,3.28,8.88,1.9,21.26,19.49,22.28,7.3,16.87,16.96,18.15,3.81,11.28,12.58,7.64,6.21,4.48,13.56,25.82,14.35,9.77,12.18,9.15,46.34,2.56,16.04,103.32,7.33,22.01,16.23,45.43
2008-02-15,61272,0.5,6.78,21.64,19.72,20.18,8.88,3.28,8.78,1.9,21.66,19.88,22.37,7.26,16.87,16.59,17.66,3.72,11.21,12.09,7.89,6.34,4.63,13.55,25.79,14.26,9.77,11.92,9.35,45.86,2.56,15.77,91.25,7.25,21.66,15.89,44.55
2008-02-18,62801,0.52,7.07,22.44,20.22,20.18,8.9,3.28,8.85,1.95,22.38,20.59,22.99,7.37,17.28,16.48,17.57,3.9,11.69,12.62,7.81,6.49,4.87,13.91,26.89,14.53,9.87,11.99,9.39,46.76,2.54,15.5,93.13,7.29,21.88,15.73,46.46
2008-02-19,62297,0.52,6.78,22.78,20.03,20.02,8.54,3.28,8.85,1.89,21.27,21.34,23.36,7.38,17.31,16.1,17.39,3.78,11.85,12.58,7.65,6.34,5,13.49,27.44,14.33,10.06,11.81,9.35,46.78,2.58,15.77,95.86,7.22,21.8,15.51,46.72
2008-02-20,63747,0.52,6.78,23.41,20.13,20.03,8.54,3.45,9.11,1.9,21.9,22.11,23.27,7.72,17.73,16.89,17.84,3.93,11.9,12.66,8.45,6.49,5.33,13.72,26.89,14.85,9.76,12.06,9.26,47.31,2.6,16.67,95.13,7.39,22.01,15.85,48.41
