"datas","X.BVSP","ABEV3.SA","ALLL3.SA","BBAS3.SA","BBDC3.SA","BRFS3.SA","CCRO3.SA","CPFE3.SA","CRUZ3.SA","CSNA3.SA","CYRE3.SA","ELET3.SA","EMBR3.SA","ENBR3.SA","GFSA3.SA","HGTX3.SA","LIGT3.SA","LREN3.SA","NATU3.SA","PETR3.SA","RENT3.SA","RSID3.SA","SBSP3.SA","TBLE3.SA","VALE3.SA"
2008-01-02,62815,0.51,3.39,22.59,21.94,20.47,3.19,8.8,1.86,16.7,21.13,16.79,18.49,4.47,13.53,8.41,15.41,30.79,13.31,47.89,16.05,103.8,8.18,15.85,46.71
2008-01-03,62892,0.51,6.96,22.25,21.67,20.57,3.11,8.86,1.82,17.05,20.93,16.65,18.86,4.41,13.5,8.46,14.86,30.39,13.29,47.2,16.71,105.03,8.4,15.65,46.95
2008-01-04,61037,0.51,7.33,21.99,22.13,19.84,2.98,8.56,1.74,16.51,20.5,16.48,18.76,4.33,12.71,8.23,14.36,29.96,12.64,44.4,15.95,103.56,8.24,15.65,45.26
2008-01-07,60772,0.5,7.26,22.51,22.35,20.47,3.04,8.55,1.84,15.97,20.5,16.69,18.67,4.47,13.06,8.28,14.06,28.21,12.82,42.87,15.32,105.49,8.16,16.7,44.45
2008-01-08,62081,0.5,6.96,22.97,22.85,20.52,3.15,8.56,1.87,16.27,21.7,16.7,18.72,4.38,12.78,8.32,14.46,27.09,12.89,45.45,14.87,105.97,8.18,16.39,45.34
2008-01-09,62674,0.5,6.97,23.38,22.27,21,3.19,8.82,1.99,16.05,21.56,17.15,19.18,4.47,13.11,8.58,14.98,26.92,12.71,46.22,14.42,99.09,8.45,16.23,44.86
2008-01-10,63515,0.52,6.96,24.06,22.22,21.91,3.16,9.19,1.97,16.65,21.65,16.79,19.32,4.5,13.25,8.83,15.07,28.6,12.59,45.27,14.38,98.97,8.28,16.74,45.83
2008-01-11,61942,0.51,6.96,22.83,21.9,21.68,3.14,8.84,1.96,16.21,21.32,16.46,18.67,4.41,12.62,9,15.24,27.79,12.41,44.53,14.56,102.08,8.37,16.47,45.26
2008-01-14,62188,0.5,7.36,22.74,22.22,21.48,3.15,8.73,1.99,16.57,20.7,16.53,18.4,4.4,12.15,8.53,15.09,27.14,12.59,44.3,14.91,103.56,8.34,17.36,45.18
2008-01-15,59907,0.49,6.93,22.22,21.81,20.27,3.07,8.66,1.91,16.16,19.43,16.18,18.02,4.23,11.59,8.41,14.28,25.88,12.01,42.15,14.42,96.56,8.16,16.89,43.49
2008-01-16,58777,0.49,6.93,22.21,21.22,19.34,2.95,8.72,1.87,15.27,19.96,16.58,17.75,4.15,11.69,8.16,14.02,25.53,12.45,40.31,14.33,87.17,7.94,16.66,41.48
2008-01-17,57037,0.47,6.88,21.97,20.46,18.49,2.84,8.4,1.93,14.98,19.91,16.15,17.66,4.15,11.3,8.24,13.28,24.1,12.05,38.16,14.51,83.28,7.48,16.12,41.19
2008-01-18,57506,0.48,6.88,21.64,20.53,18.33,2.77,8.27,2.03,15.41,19.07,16.95,17.48,4.14,11.24,8.24,13.13,26.04,11.84,38.75,14.87,85.45,7.41,16.23,41.62
2008-01-21,53709,0.46,5.82,20.53,19.62,16.93,2.47,7.86,1.95,14.05,17.82,15.71,16.74,3.91,10.69,8.01,12.79,24.39,11.77,35.81,14.42,81.11,6.74,15.46,37.29
2008-01-22,56097,0.47,5.82,21.75,19.62,17.82,2.67,7.98,2.02,15.51,18.85,15.63,17.11,3.98,11.31,8.24,13.08,25.44,11.35,39.6,14.42,84.49,7.24,15.32,38.4
2008-01-23,54235,0.44,5.82,20.77,18.89,17.22,2.63,8.03,1.98,14.87,18,14.88,16.76,3.78,11.22,7.99,12.58,24.69,11.02,38.84,14.33,81.59,6.9,14.79,36.31
2008-01-24,57463,0.48,5.93,22.32,20.42,17.62,2.85,8.36,2.02,16.35,19.38,15.28,17.16,3.8,11.96,8.45,13.05,26.11,12.18,41.87,14.84,86.54,7.19,14.81,40.44
2008-01-28,58594,0.49,6.21,22.06,20.42,17.9,2.86,8.72,2.11,17.19,19.34,15.86,17.3,3.93,12.36,8.23,13.3,24.49,12.45,44.59,15.03,89.34,7.3,15.85,40.54
2008-01-29,59530,0.48,6.21,22.51,20.32,18.63,2.94,8.45,2.04,17.44,20.75,16.58,17.29,3.9,13.07,8.19,13.59,24.82,13.07,44.53,14.64,92.94,7.31,15.46,41.21
2008-01-30,60289,0.47,6.1,23.04,20.1,18.99,3.08,8.11,1.96,17.72,21.03,16.51,17.29,3.8,12.99,8.14,13.31,24.66,13.01,45.66,14.54,96.32,7.43,15.5,42.27
2008-01-31,59490,0.48,6.3,22.17,19.62,18.97,3.22,7.99,1.96,17.78,20.41,15.78,17.52,3.75,12.45,8.15,12.91,23.97,12.74,44.26,14.46,90.28,7.3,15.46,41.82
