"","colunas","faixa_temporal_por_setores","coeficiente_B","sse","volatilidade","mape","b_volatilidade"
"1","Bens Indls / Mat Transporte",2008,0.924499999999999,0.0964822891730069,1.02527560063931,0.103238300785116,0.947867292791041
"2","Cons N Cíclico / Bebidas",2008,1.5317,0.197068507794205,0.559446139941297,0.111434365915751,0.856903652548085
"3","Cons N Cíclico / Fumo",2008,0.806499999999999,0.101921580900272,1.10557630867355,0.12815586687237,0.891647292945217
"4","Cons N Cíclico / Pr Pessoal Limp",2008,0.6318,0.0720985498514135,1.36024673924529,0.102818921324063,0.859403889855174
"5","Consumo Cíclico / Comércio",2008,0.929199999999999,0.0987727162456471,1.05614765939493,0.112739321868592,0.981372405109768
"6","Consumo Cíclico / Tecid Vest Calç",2008,1.033,0.0104816804931665,0.92350704178461,0.0430307311386329,0.953982774163502
"7","Mats Básicos / Mineração",2008,0.974499999999999,0.00917055370277318,1.02128511887085,0.0316155934638715,0.995242348339642
"8","Mats Básicos / Químicos",2008,0.905699999999999,0.0421703192372093,1.05588624894728,0.0878764633231048,0.95631617567155
"9","Mats Básicos / Sid Metalurgia",2008,1.0401,0.0698337477433103,0.951979455106437,0.0712095783278777,0.990153831256205
"10","Petróleo, Gás e Biocombustíveis",2008,0.896399999999999,0.00767633732282488,1.08546813276872,0.0236158668666054,0.973013634213879
"11","Telecomunicação / Telefonia Fixa",2008,0.770799999999999,0.21678208551756,1.18674818437682,0.177261455269662,0.914745500517652
"12","Telecomunicação / Telefonia Móvel",2008,0.956999999999999,0.0177098511217154,0.995264628810351,0.0616219840865481,0.952468249771505
"13","Utilidade Públ / Água Saneamento",2008,0.967199999999999,0.0138124730066473,1.03382467641584,0.0325789310129307,0.999915227029399
"14","Bens Indls / Mat Transporte",2009,0.826599999999999,0.154908530517372,1.10404379662362,0.150346950833168,0.912602602289083
"15","Cons N Cíclico / Bebidas",2009,1.3145,0.0945107230204,0.646769652885459,0.0797182727603819,0.850178708717936
"16","Cons N Cíclico / Fumo",2009,1.1058,0.0822696904581868,0.846721062805382,0.0892265901497915,0.936304151250191
"17","Cons N Cíclico / Pr Pessoal Limp",2009,0.817199999999999,0.0364978163245943,1.13487596089828,0.0641159033275671,0.927420635246073
"18","Consumo Cíclico / Comércio",2009,0.787899999999999,0.0880627524089736,1.15830373442361,0.0998149466998854,0.912627512352361
"19","Consumo Cíclico / Tecid Vest Calç",2009,1.1136,0.00865631313172301,0.828546609753219,0.0272474320402378,0.922669504621185
"20","Mats Básicos / Mineração",2009,0.853499999999999,0.0331369806729089,1.12810501578772,0.0500368147886513,0.962837630974818
"21","Mats Básicos / Químicos",2009,0.6778,0.031054108345205,1.25871806584617,0.0638856759471772,0.853159105030534
"22","Mats Básicos / Sid Metalurgia",2009,0.733799999999999,0.165334190548164,1.24250315403641,0.136297823610634,0.911748814431916
"23","Petróleo, Gás e Biocombustíveis",2009,0.832699999999999,0.0216404202822661,1.13997699095273,0.0553152431988355,0.949258840366337
"24","Telecomunicação / Telefonia Fixa",2009,0.692,0.226135478849433,1.24408194044164,0.17275782260365,0.860904702785615
"25","Telecomunicação / Telefonia Móvel",2009,0.6939,0.0551425119840494,1.20700810770285,0.0770134749636555,0.837542925935008
"26","Utilidade Públ / Água Saneamento",2009,0.7441,0.0110679249498867,1.14740628193056,0.0391341076142215,0.85378501438453
"27","Bens Indls / Mat Transporte",2010,1.2503,0.159171809074049,0.785947668906662,0.149740126239678,0.982670370434
"28","Cons N Cíclico / Bebidas",2010,0.817699999999999,0.104576652629534,1.07778923369454,0.0923760604906093,0.881308256392024
"29","Cons N Cíclico / Fumo",2010,0.874699999999999,0.0773413841748485,1.05263138925263,0.11222617215373,0.920736676179274
"30","Cons N Cíclico / Pr Pessoal Limp",2010,0.6651,0.0542739480367959,1.28149843644071,0.0856939838815334,0.852324610076716
"31","Consumo Cíclico / Comércio",2010,0.720799999999999,0.30362058817493,1.23924496753641,0.200725828557652,0.893247772600243
"32","Consumo Cíclico / Tecid Vest Calç",2010,3.8062,0.00927375508224383,0.308067596575733,0.0404395719439063,1.17256688608656
"33","Mats Básicos / Mineração",2010,0.857599999999999,0.0109551195526849,1.10678939344063,0.0406355443080373,0.949182583814683
"34","Mats Básicos / Químicos",2010,1.3298,0.0209171304705955,0.743411006809095,0.0631315285788055,0.988587956854735
"35","Mats Básicos / Sid Metalurgia",2010,0.6738,0.31616198645036,1.30621932765919,0.20571025630077,0.880130582976762
