"","colunas","faixa_temporal_por_setores","coeficiente_B","sse","volatilidade","mape","b_volatilidade"
"1","Bens Indls / Mat Transporte","2008.1",0.735999999999999,0.200904211000662,1.17868825468194,0.149027170568279,0.867514555445907
"2","Cons N Cíclico / Bebidas","2008.1",1.2431,0.481928706756099,0.574383749297286,0.21867350175603,0.714016438751456
"3","Cons N Cíclico / Fumo","2008.1",0.837199999999999,0.120366723727489,1.06284454450715,0.133284219966501,0.889813452661385
"4","Cons N Cíclico / Pr Pessoal Limp","2008.1",0.6606,0.0757336828890691,1.33000024143704,0.110490049039243,0.878598159493309
"5","Consumo Cíclico / Comércio","2008.1",0.722399999999999,0.167366138435398,1.228797421326,0.153877460812991,0.887683257165901
"6","Consumo Cíclico / Tecid Vest Calç","2008.1",0.825499999999999,0.0555733370889062,1.0918950785669,0.105963865350705,0.901359387356975
"7","Mats Básicos / Mineração","2008.1",0.823999999999999,0.0434186876155314,1.13502048614915,0.081949709544977,0.935256880586898
"8","Mats Básicos / Químicos","2008.1",0.6439,0.0787835452915426,1.34699411595473,0.0778957608936095,0.867329511263251
"9","Mats Básicos / Sid Metalurgia","2008.1",0.868299999999999,0.255380031699987,1.06728650788377,0.188255594817297,0.926724874795476
"10","Petróleo, Gás e Biocombustíveis","2008.1",0.820399999999999,0.0466845000915055,1.15608795479987,0.0812560420376392,0.948454558117812
"11","Telecomunicação / Telefonia Fixa","2008.1",0.5481,0.329625022203428,1.44456703672222,0.190451900148266,0.791767192827449
"12","Telecomunicação / Telefonia Móvel","2008.1",0.729999999999999,0.0342794376472482,1.21241242446431,0.0776781965912587,0.885061069858945
"13","Utilidade Públ / Água Saneamento","2008.1",0.826299999999999,0.0885888377258093,1.16897038624704,0.130570278581676,0.965920230155928
"14","Bens Indls / Mat Transporte","2008.2",0.778199999999999,0.151909895603582,1.16456748915354,0.146772256513928,0.906266420059284
"15","Cons N Cíclico / Bebidas","2008.2",1.7273,0.0919375265999241,0.577861243825585,0.0795697157444083,0.998139726459933
"16","Cons N Cíclico / Fumo","2008.2",0.735399999999999,0.139136738612324,1.19120083199966,0.157125731300779,0.876009091852549
"17","Cons N Cíclico / Pr Pessoal Limp","2008.2",0.59,0.10057232879616,1.42286335446158,0.126116908375022,0.839489379132332
"18","Consumo Cíclico / Comércio","2008.2",0.893599999999999,0.067898985856767,1.08799840267725,0.0712908083534192,0.972235372632389
"19","Consumo Cíclico / Tecid Vest Calç","2008.2",0.838299999999999,0.0201740302489098,1.02012707575012,0.0468498957399325,0.855172527601325
"20","Mats Básicos / Mineração","2008.2",0.873299999999999,0.00917269543467737,1.1046109975544,0.0341594542974334,0.964656784164256
"21","Mats Básicos / Químicos","2008.2",0.980299999999999,0.0287905552994143,0.999029779922015,0.0730539250832831,0.97934889325755
"22","Mats Básicos / Sid Metalurgia","2008.2",0.813599999999999,0.0495963601170704,1.15345752776882,0.0776404860833255,0.938453044592711
"23","Petróleo, Gás e Biocombustíveis","2008.2",0.729399999999999,0.021117058364022,1.24708566736551,0.0462989087834115,0.909624285776402
"24","Telecomunicação / Telefonia Fixa","2008.2",0.779199999999999,0.161140962003961,1.17628723718459,0.153297980852744,0.916563015214231
"25","Telecomunicação / Telefonia Móvel","2008.2",0.981499999999999,0.0199151346970894,0.98849528764633,0.0550421034095513,0.970208124824872
"26","Utilidade Públ / Água Saneamento","2008.2",0.776699999999999,0.0511008101123571,1.20466815127178,0.0883195723900249,0.93566575309279
"27","Bens Indls / Mat Transporte","2009.1",0.6542,0.384684421081377,1.32180439235431,0.232890680421395,0.86472443347819
"28","Cons N Cíclico / Bebidas","2009.1",0.860899999999999,0.211044765539416,0.934405753546523,0.120039226755403,0.804429913228201
"29","Cons N Cíclico / Fumo","2009.1",1.1657,0.0841608194400597,0.801666753255206,0.0980669088047498,0.934502934269594
"30","Cons N Cíclico / Pr Pessoal Limp","2009.1",0.697799999999999,0.116344949281216,1.26655228473526,0.10135928820505,0.883800184288263
"31","Consumo Cíclico / Comércio","2009.1",0.714099999999999,0.163968173763816,1.2471942994576,0.142415521034686,0.890621449242671
"32","Consumo Cíclico / Tecid Vest Calç","2009.1",1.1,0.0215825053711443,0.818195968670353,0.0502820511582258,0.900015565537388
"33","Mats Básicos / Mineração","2009.1",0.736599999999999,0.0507648422208845,1.24896740286059,0.0798916548681895,0.919989388947109
