"","colunas","faixa_temporal_por_setores","coeficiente_B","sse","volatilidade","mape","b_volatilidade"
"1","Bens Indls / Mat Transporte","2008.1",0.6868,0.312565494046464,1.23314358748333,0.189473603766389,0.846923015883551
"2","Cons N Cíclico / Bebidas","2008.1",0.533,1.09133736209081,1.05803968431678,0.286086781993143,0.563935151740844
"3","Cons N Cíclico / Fumo","2008.1",0.858099999999999,0.219833521098091,1.09475722311203,0.186870370015455,0.939411173152432
"4","Cons N Cíclico / Pr Pessoal Limp","2008.1",0.730899999999999,0.0528323655292525,1.24858019032485,0.0794161801979288,0.912587261108432
"5","Consumo Cíclico / Comércio","2008.1",0.6208,0.167180128914633,1.36196547388527,0.144169928782732,0.845508166187976
"6","Consumo Cíclico / Tecid Vest Calç","2008.1",0.787999999999999,0.129157412625105,1.17050568718495,0.171627572398914,0.922358481501739
"7","Mats Básicos / Mineração","2008.1",0.918999999999999,0.0266134334046695,1.07254548490834,0.0660068894587698,0.985669300630763
"8","Mats Básicos / Químicos","2008.1",0.5791,0.0614914898071706,1.4381925403022,0.060617119094698,0.832857300089004
"9","Mats Básicos / Sid Metalurgia","2008.1",0.745299999999999,0.313898497777043,1.21904254097665,0.181049459382594,0.908552405789896
"10","Petróleo, Gás e Biocombustíveis","2008.1",0.867899999999999,0.034417645423383,1.11798147758372,0.0551458088524208,0.97029612439491
"11","Telecomunicação / Telefonia Fixa","2008.1",0.4352,0.451294042548968,1.65689406891792,0.212872613136393,0.721080298793079
"12","Telecomunicação / Telefonia Móvel","2008.1",0.5828,0.161767796073044,1.4045421477601,0.145587940073052,0.818567163714586
"13","Utilidade Públ / Água Saneamento","2008.1",0.884899999999999,0.0495860024151926,1.11742569710716,0.0879992352690739,0.988809999370125
"14","Bens Indls / Mat Transporte","2008.2",0.786099999999999,0.174949137182054,1.15172123458294,0.147451226322034,0.905368062505648
"15","Cons N Cíclico / Bebidas","2008.2",1.9267,0.419178284116228,0.430936866094228,0.198657748662896,0.830286059903749
"16","Cons N Cíclico / Fumo","2008.2",0.6585,0.121251965534461,1.23765815978676,0.122683451338593,0.814997898219581
"17","Cons N Cíclico / Pr Pessoal Limp","2008.2",0.5823,0.122712051603473,1.43971441647107,0.133898340286763,0.838345704711104
"18","Consumo Cíclico / Comércio","2008.2",0.850399999999999,0.216818324240875,1.11431206033153,0.19601177319073,0.947610976105932
"19","Consumo Cíclico / Tecid Vest Calç","2008.2",0.893099999999999,0.0292254606135232,1.01649513638795,0.0678190090875189,0.907831806308077
"20","Mats Básicos / Mineração","2008.2",0.6192,0.0833129770525325,1.36636389362176,0.105402340150216,0.846052522930594
"21","Mats Básicos / Químicos","2008.2",0.6933,0.153221960870031,1.28310007719082,0.123693146539547,0.889573283516396
"22","Mats Básicos / Sid Metalurgia","2008.2",0.871699999999999,0.262500599084224,1.07955199842943,0.200497411533676,0.941045477030933
