"Bens Indls / Mat Transporte" "Cons N Básico / Alimentos Processados" "Cons N Cíclico / Fumo" "Cons N Cíclico / Pr Pessoal Limp" "Const e Transp / Constr e Engenh" "Consumo Cíclico / Tecid Vest Calç" "Utilidade Públ / Água Saneamento"
13.885 27.265 19.32 31.85 5.075 20.25 17.01
14.055 27.39 19.64 32.5 5.17666666666667 20 17.72
13.93 26.9275 19.31 31.4 5.10166666666667 19.94 17.41
14.285 27.205 19.91 31.8 5.06833333333333 20.15 17.32
13.965 26.95 19.49 31.5 4.90333333333333 20.64 17.2
13.815 27.41 19.19 31.33 4.75 20.53 17.37
13.705 26.575 18.79 30.92 4.67833333333333 20.5 17.06
13.655 26.75 18.74 30.7 4.745 20.28 16.55
13.25 24.995 18.49 30.5 4.68166666666667 20.39 16.97
13.385 25.655 18.19 30.76 4.795 20.36 17.3
13.855 26.49 18.49 31.9 4.92333333333333 20.96 17.79
13.525 26.3175 18.18 31.9 5.03666666666667 21.36 17.73
13.52 26.6175 17.86 32 5.17166666666667 20.86 17.92
13.155 26.885 17.92 32.4 5.27333333333333 20.61 17.7
13.46 27.6175 18.53 33.5 5.41333333333333 21.6 18.27
13.37 27.7575 18.97 33.25 5.425 21.39 18.25
13.35 28.4625 19.09 33.2 5.495 22.07 18.74
13.295 27.8875 18.82 33.31 5.41333333333333 22.26 18.29
13.21 28.18 19.69 33.3 5.50666666666667 22.7 18.02
13.81 28.97 20.47 35.27 5.75833333333333 24.33 19.29
13.58 29.0725 20.82 34.71 5.73166666666667 24.29 19.41
13.55 29.365 20.88 34.87 5.79166666666667 24.75 19.52
13.585 29.135 20.83 34.5 5.81333333333333 24.76 19.4
13.655 29.4475 20.98 34.8 5.82833333333333 24.57 19.95
13.91 29.57 21.21 36 5.865 24.53 20.5
14.27 28.8325 20.46 34.66 5.47833333333333 24.33 20.1
14.33 27.9025 19.83 33.99 5.33333333333333 24.01 19.87
13.92 27.7125 19.15 32.9 5.24 23.82 19.17
13.89 27.805 19.33 33.76 5.275 23.84 19.35
14.04 27.4525 19.6 33.99 5.25166666666667 24.7 18.96
14.02 28.32 20.29 35.31 5.45333333333333 24.08 19.48
